请按任意键继续. . . 
n=1, fn=1, time=0.000
n=2, fn=2, time=0.000
n=3, fn=3, time=0.000
n=4, fn=5, time=0.000
n=5, fn=8, time=0.000
n=6, fn=13, time=0.000
n=7, fn=21, time=0.000
n=8, fn=34, time=0.000
n=9, fn=55, time=0.000
n=10, fn=89, time=0.000
n=11, fn=144, time=0.000
n=12, fn=233, time=0.000
n=13, fn=377, time=0.000
n=14, fn=610, time=0.000
n=15, fn=987, time=0.000
n=16, fn=1597, time=0.000
n=17, fn=2584, time=0.000
n=18, fn=4181, time=0.000
n=19, fn=6765, time=0.000
n=20, fn=10946, time=0.000
n=21, fn=17711, time=0.000
n=22, fn=28657, time=0.000
n=23, fn=46368, time=0.000
n=24, fn=75025, time=0.000
n=25, fn=121393, time=0.000
n=26, fn=196418, time=0.000
n=27, fn=317811, time=0.000
n=28, fn=514229, time=0.000
n=29, fn=832040, time=0.000
n=30, fn=1346269, time=0.000
n=31, fn=2178309, time=0.000
n=32, fn=3524578, time=0.000
n=33, fn=5702887, time=0.000
n=34, fn=9227465, time=0.000
n=35, fn=14930352, time=0.000
n=36, fn=24157817, time=0.000
n=37, fn=39088169, time=0.000
n=38, fn=63245986, time=0.000
n=39, fn=102334155, time=0.000
n=40, fn=165580141, time=0.000
